Verein	ZVR-Zahl	Bezirk	Foerderung_ref	Typ	Jahr	Betrag_EUR	Quelle	Anmerkungen	Programm	Kurzname	Verein_key
id/l Agentur für Kunst und Kultur	214732532	18	MA7	Beschluss	2025	50000.0	Transparenzportal IFG 2025	Kulturinitiativen		id/l	id/l agentur für kunst und kultur
id/l Agentur für Kunst und Kultur	214732532	18	BMKöS	Beschluss	2025	23000.0	Transparenzportal IFG 2025	"Förderung Festspiele und ähnlichen Saisonveranstaltungen Förderungen			
"		id/l	id/l agentur für kunst und kultur
liccht - kulturverein für nischenmusik und populärkultur	1472352125	3	MA7	Beschluss	2025	13000.0	Transparenzportal IFG 2025	Förderung Musik		liccht	liccht - kulturverein für nischenmusik und populärkultur
echoraum Vereinigung zur Förderung der Kulturkommunikation	884318065	15	MA7	Beschluss	2026	60000.0	Transparenzportal IFG 2026	Förderung Musik		echoraum	echoraum vereinigung zur förderung der kulturkommunikation
echoraum Vereinigung zur Förderung der Kulturkommunikation	884318065	15	MA7	Beschluss	2026	20000.0	Transparenzportal IFG 2026	Musik: Förderung von Vereinen		echoraum	echoraum vereinigung zur förderung der kulturkommunikation
echoraum Vereinigung zur Förderung der Kulturkommunikation	884318065	15	Bezirkskultur	Beschluss	2025	3500.0	Transparenzportal IFG 2025	Bezirkskulturförderung		echoraum	echoraum vereinigung zur förderung der kulturkommunikation
echoraum Vereinigung zur Förderung der Kulturkommunikation	884318065	15	MA7	Beschluss	2025	110000.0	Transparenzportal IFG 2025	Förderung Musik		echoraum	echoraum vereinigung zur förderung der kulturkommunikation
echoraum Vereinigung zur Förderung der Kulturkommunikation	884318065	15	MA7	Beschluss	2025	12000.0	Transparenzportal IFG 2025	Musik: Förderung von Vereinen		echoraum	echoraum vereinigung zur förderung der kulturkommunikation
The Acousmatic Project - Verein zur Förderung Akusmatischer Musik	874404447	2	MA7	Beschluss	2026	10000.0	Transparenzportal IFG 2026	Förderung Musik			the acousmatic project - verein zur förderung akusmatischer musik
The Acousmatic Project - Verein zur Förderung Akusmatischer Musik	874404447	2	MA7	Beschluss	2026	16000.0	Transparenzportal IFG 2026	Musik: Förderung von Vereinen			the acousmatic project - verein zur förderung akusmatischer musik
liccht - kulturverein für nischenmusik und populärkultur	1472352125	3	MA7	Beschluss	2026	12000.0	Transparenzportal IFG 2026	Förderung Musik		liccht	liccht - kulturverein für nischenmusik und populärkultur
Studio Dan - Verein für Neue Musik	408034688	20	MA7	Beschluss	2025	54000.0	Transparenzportal IFG 2025	Musik: Förderung von Vereinen		Studio Dan	studio dan - verein für neue musik
Studio Dan - Verein für Neue Musik	408034688	20	MA7	Beschluss	2025	2217.0	Transparenzportal IFG 2025	IG Netz		Studio Dan	studio dan - verein für neue musik
Studio Dan - Verein für Neue Musik	408034688	20	MA7	Beschluss	2026	60000.0	Transparenzportal IFG 2026	Musik: Förderung von Vereinen. verificar duplicado*		Studio Dan	studio dan - verein für neue musik
WUK - Verein zur Schaffung offener Kultur- und Werkstättenhäuser,\nKurzbezeichnung WUK Werkstätten- und Kulturhaus	535133641	9	MA7	Beschluss	2026	30000.0	Transparenzportal IFG 2026	Bildende Kunst und Medienkunst		WUK	wuk - verein zur schaffung offener kultur- und werkstättenhäuser,\nkurzbezeichnung wuk werkstätten- und kulturhaus
WUK - Verein zur Schaffung offener Kultur- und Werkstättenhäuser,\nKurzbezeichnung WUK Werkstätten- und Kulturhaus	535133641	9	MA7	Beschluss	2026	200000.0	Transparenzportal IFG 2026	Darstellende Kunst		WUK	wuk - verein zur schaffung offener kultur- und werkstättenhäuser,\nkurzbezeichnung wuk werkstätten- und kulturhaus
Jazz & Musicclub Porgy & Bess	79072322	4	MA7	Beschluss	2025	350000.0	Transparenzportal IFG 2025	Musik: Förderung von Vereinen		Porgy & Bess	jazz & musicclub porgy & bess
Peer to Peer - Verein zur Förderung und Verbreitung experimenteller Musik  interdisziplinärer Kunstformate und Diskurs	1254357283	20	BMKöS	Beschluss	2026	27000.0	Transparenzportal IFG 2026	ausbezahlt: Musik: Förderung von Vereinen, vergleichbaren Einrichtungen und Einzelpersonen			peer to peer - verein zur förderung und verbreitung experimenteller musik  interdisziplinärer kunstformate und diskurs
Peer to Peer - Verein zur Förderung und Verbreitung experimenteller Musik  interdisziplinärer Kunstformate und Diskurs	1254357283	20	MA7	Beschluss	2025	55000.0	Transparenzportal IFG 2025	ausbezahlt: Föderung von Einzelvorhaben und Jahrestätigkeiten im Bereich der Musik			peer to peer - verein zur förderung und verbreitung experimenteller musik  interdisziplinärer kunstformate und diskurs
Peer to Peer - Verein zur Förderung und Verbreitung experimenteller Musik  interdisziplinärer Kunstformate und Diskurs	1254357283	20	BMKöS	Beschluss	2025	25000.0	Transparenzportal IFG 2026	ausbezahlt: Musik: Förderung von Vereinen, vergleichbaren Einrichtungen und Einzelpersonen			peer to peer - verein zur förderung und verbreitung experimenteller musik  interdisziplinärer kunstformate und diskurs
Studio Dan - Verein für Neue Musik	408034688	20	MA7	Beschluss	2024	100000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Mehrjährige Gesamtförderung 2024-2025 (2024). Ensemble		Studio Dan	studio dan - verein für neue musik
SHIZZLE - Kunst- und Kulturverein	818583997	17	MA7	Beschluss	2023	35000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Kulturinitiativen			shizzle - kunst- und kulturverein
SHIZZLE - Kunst- und Kulturverein	818583997	17	MA7	Beschluss	2024	35000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Kulturinitiativen			shizzle - kunst- und kulturverein
Wien Modern, Verein für neue Musik	678661440	3	MA7	Beschluss	2024	1040000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Mehrjährige Gesamtförderung 2024-2025 (2024). Festival		Wien Modern	wien modern, verein für neue musik
Klang.Kunst.Etage - Verein für experimentelle Musik und Kunstprojekte	539978143	2	MA7	Beschluss	2024	24000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Gesamtförderung 2024. Ensemble			klang.kunst.etage - verein für experimentelle musik und kunstprojekte
moment collective - Verein für experimentelle Musik, audio-visuelle und\nperformative Kuns	839307922	14	MA7	Beschluss	2024	22000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Black Page Orchestra Konzerte. Ensemble	Black Page Orchestra Konzerte		moment collective - verein für experimentelle musik, audio-visuelle und\nperformative kuns
Verein für elektroakustische Musik Kurztitel VELAK	229137709	5	MA7	Beschluss	2024	6500.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: velak gala/export. Einzelförderung Projekte	VELAK Gala		verein für elektroakustische musik kurztitel velak
Verein für Kunstvermischung	448124582	17	MA7	Beschluss	2024	25000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Der blöde dritte Mittwoch. Einzelförderung Projekte	Der Blöde Dritte Mittwoch		verein für kunstvermischung
Verein zur Förderung der Neuen Musik im Kirchenraum	812262237	15	MA7	Beschluss	2024	8000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Neue Musik in St. Ruprecht. Einzelförderung Projekte	Neue Musik in St. Ruprecht		verein zur förderung der neuen musik im kirchenraum
Verein zur Förderung von Subkultur	815077150	12	MA7	Beschluss	2024	8000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Salon skug. Einzelförderung Projekte	Salon skug		verein zur förderung von subkultur
sp ce. Verein zur Förderung von Kunst und Transdisziplinarität	752869720	19	MA7	Beschluss	2024	8000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Festival SUAL. Festival	Festival SUAL		sp ce. verein zur förderung von kunst und transdisziplinarität
On the Couch - zur Förderung von Kunst und Kultur in der Gesellschaft	1742094788	3	MA7	Beschluss	2024	7000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: On the Couch Studiokonzerte. Einzelförderung Projekte		On the Couch	on the couch - zur förderung von kunst und kultur in der gesellschaft
PARKEN, Verein zur Förderung experimenteller Musik im öffentlichem Raum	1294222714	16	MA7	Beschluss	2024	10000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: PARKEN. Einzelförderung Projekte	PARKEN	PARKEN	parken, verein zur förderung experimenteller musik im öffentlichem raum
punctum collective, Verein zur Förderung zeitgenössischer Musik und\ntransmedialer Kunstformate	1310873198	5	MA7	Beschluss	2024	8000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Veranstaltungsreihe. Einzelförderung Projekte			punctum collective, verein zur förderung zeitgenössischer musik und\ntransmedialer kunstformate
Rantasa + Rantasa GmbH	GmbH	8	MA7	Beschluss	2024	25000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Künstlerisches Programm rhiz. Einzelförderung Projekte		rhiz	rantasa + rantasa gmbh
czirp czirp - experimental and sonic arts. Verein zur Förderung Experimenteller und\nKlang-Kunst	460617721	8	MA7	Beschluss	2023	10000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: CLUB RADIOKOJE | HOLDING BREATH. Einzelförderung Projekte	CLUB RADIOKOJE		czirp czirp - experimental and sonic arts. verein zur förderung experimenteller und\nklang-kunst
Floating Sound Gallery Vienna, Verein zur Förderung von Kunst und Kultur	1534373870	18	MA7	Beschluss	2023	4500.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: ACOUSMONIUM. Einzelförderung Projekte	ACOUSMONIUM	Floating Sound Gallery Vienna	floating sound gallery vienna, verein zur förderung von kunst und kultur
Kulturverein WERK	140201457	9	MA7	Beschluss	2023	10000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Konzerte im 1. Halbjahr 2023. Einzelförderung Projekte			kulturverein werk
Kulturverein WERK	140201457	9	MA7	Beschluss	2023	5000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Konzerte im 2. Halbjahr 2023. Einzelförderung Projekte			kulturverein werk
Reconsil - Verein zur Förderung zeitgenössischer Musik	90914757	5	MA7	Beschluss	2022	5000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Konzertzyklus 3 Konzerte im REAKTOR. Ensemble			reconsil - verein zur förderung zeitgenössischer musik
Antunes de Menezes Melissa	[Einzelperson]	[nicht dokumentiert]	MA7	Beschluss	2023	6000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: TENDER MATTER Konzertreihe. Einzelperson	TENDER MATTER Konzertreihe		antunes de menezes melissa
A M B I T U S – Gruppe für neue Musik	228515470	17	MA7	Beschluss	2022	4000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Konzerte mit zeitgenössischer Musik. Ensemble			a m b i t u s – gruppe für neue musik
Between Feathers	1931401223	14	MA7	Beschluss	2022	6000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Halbjahresprogramm Herbst 2022. Ensemble			between feathers
Klang.Kunst.Etage - Verein für experimentelle Musik und Kunstprojekte	539978143	2	MA7	Beschluss	2022	20000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Vienna Improvisers Orchestra / Raum Utopie Dynamik II. Ensemble	Vienna Improvisers Orchestra		klang.kunst.etage - verein für experimentelle musik und kunstprojekte
moment collective - Verein für experimentelle Musik, audio-visuelle und\nperformative Kuns	839307922	14	MA7	Beschluss	2022	15000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Black Page Orchestra Konzerte. Ensemble	Black Page Orchestra Konzerte		moment collective - verein für experimentelle musik, audio-visuelle und\nperformative kuns
PHACE - Ensemble für neue Musik	366181964	15	MA7	Beschluss	2022	75000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Gesamtförderung 2022. Ensemble			phace - ensemble für neue musik
Platypus - Verein für Neue Musik	881787755	5	MA7	Beschluss	2022	18000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Gesamtförderung 2022. Ensemble			platypus - verein für neue musik
Verein Künstlergruppe DYNAMO	332578538	2	MA7	Beschluss	2022	16000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Konzerttätigkeiten FLUCC und FLUC_WANNE 1. Halbjahr 2022. Einzelförderung Projekte	FLUCC Konzerttätigkeiten		verein künstlergruppe dynamo
Verein zur Förderung der Neuen Musik im Kirchenraum	812262237	15	MA7	Beschluss	2022	6500.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Neue Musik in St. Ruprecht. Einzelförderung Projekte	Neue Musik in St. Ruprecht		verein zur förderung der neuen musik im kirchenraum
Verein zur Förderung von Subkultur	815077150	12	MA7	Beschluss	2022	8000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Salon skug. Einzelförderung Projekte	Salon skug		verein zur förderung von subkultur
Central Garden	17183473	2	MA7	Beschluss	2022	5000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Kanal #41.2. Festival	Kanal #41.2		central garden
MOOZAK - VEREIN FÜR EXPERIMENTELLE MUSIK	817982407	19	MA7	Beschluss	2022	15000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Jahresendzeitschokoladenhohlkörper Festival. Festival		Moozak	moozak - verein für experimentelle musik
SISTERS - Verein für queer feministische Kunst und Kultur	914774238	15	MA7	Beschluss	2022	75000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: HYPERREALITY 2022. Festival	HYPERREALITY		sisters - verein für queer feministische kunst und kultur
Between Feathers	1931401223	14	MA7	Beschluss	2023	10000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Gesamtförderung 2023. Ensemble			between feathers
ensemble N - Verein und Ensemble für zeitgenössische Musik	[nicht dokumentiert]	[nicht dokumentiert]	MA7	Beschluss	2023	3500.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Palimpsests. Ensemble	Palimpsests		ensemble n - verein und ensemble für zeitgenössische musik
ensemble N - Verein und Ensemble für zeitgenössische Musik	[nicht dokumentiert]	[nicht dokumentiert]	MA7	Beschluss	2023	4000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Konzertreihe 2. Halbjahr 2023. Ensemble			ensemble n - verein und ensemble für zeitgenössische musik
Verein für Kunstvermischung	448124582	17	MA7	Beschluss	2023	20000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Der blöde dritte Mittwoch. Einzelförderung Projekte	Der Blöde Dritte Mittwoch		verein für kunstvermischung
Verein für Kunstvermischung	448124582	17	MA7	Beschluss	2023	5000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Beatnik Manifesto. Einzelförderung Projekte	Beatnik Manifesto		verein für kunstvermischung
Verein für vegetabile Klangpraxis	913810634	16	MA7	Beschluss	2023	10000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: 25 Jahre Jubiläumskonzert. Einzelförderung Projekte	25 Jahre Jubiläumskonzert		verein für vegetabile klangpraxis
Verein zur Förderung der Neuen Musik im Kirchenraum	812262237	15	MA7	Beschluss	2023	6500.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Neue Musik in St. Ruprecht. Einzelförderung Projekte	Neue Musik in St. Ruprecht		verein zur förderung der neuen musik im kirchenraum
Verein zur Förderung von Subkultur	815077150	12	MA7	Beschluss	2023	8000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Salon skug. Einzelförderung Projekte	Salon skug		verein zur förderung von subkultur
The Acousmatic Project - Verein zur Förderung Akusmatischer Musik	874404447	2	MA7	Beschluss	2023	5000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Young Lion*ess of Acousmatic Music. Einzelförderung Projekte	Young Lion*ess of Acousmatic Music		the acousmatic project - verein zur förderung akusmatischer musik
The Acousmatic Project - Verein zur Förderung Akusmatischer Musik	874404447	2	MA7	Beschluss	2023	17000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Projektreihe und Festival Acousmatic Projekt. Einzelförderung Projekte			the acousmatic project - verein zur förderung akusmatischer musik
tonWerk - Forum für Neue Musik	708944665	14	MA7	Beschluss	2023	8000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Konzertreihe Wiener Hausmusik. Einzelförderung Projekte	Konzertreihe Wiener Hausmusik		tonwerk - forum für neue musik
Verein für elektroakustische Musik Kurztitel VELAK	229137709	5	MA7	Beschluss	2023	5000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Velak Gala Konzertreihe. Einzelförderung Projekte	VELAK Gala		verein für elektroakustische musik kurztitel velak
Rantasa + Rantasa GmbH	GmbH	8	MA7	Beschluss	2023	10000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Veranstaltungsreihe rhiz 1. Halbjahr 2023. Einzelförderung Projekte		rhiz	rantasa + rantasa gmbh
Rantasa + Rantasa GmbH	GmbH	8	MA7	Beschluss	2023	15000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Veranstaltungsreihe rhiz 2. Halbjahr 2023. Einzelförderung Projekte		rhiz	rantasa + rantasa gmbh
RRRIOT - Verein zur Förderung und Vermittlung feministischen Kulturschaffens	176821539	10	MA7	Beschluss	2023	15000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Dishes. Einzelförderung Projekte	Dishes		rrriot - verein zur förderung und vermittlung feministischen kulturschaffens
SAMA Kollektiv - Kunst & Kulturverein	1944532794	19	MA7	Beschluss	2023	4000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: sama recordings. Einzelförderung Projekte	sama recordings		sama kollektiv - kunst & kulturverein
JazzWerkstatt Wien	59191016	20	MA7	Beschluss	2024	30000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: 20 Jahre JazzWerkstatt Wien ALL THE THINGS YOU ARE. Einzelförderung Projekte		JazzWerkstatt Wien	jazzwerkstatt wien
JazzWerkstatt Wien	59191016	20	MA7	Beschluss	2024	5000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: 20 Jahre JazzWerkstatt Wien Erhöhung. Einzelförderung Projekte		JazzWerkstatt Wien	jazzwerkstatt wien
Kunstverein das weisse haus	[nicht dokumentiert]	1	MA7	Beschluss	2024	2500.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Reverberate. Einzelförderung Projekte	Reverberate		kunstverein das weisse haus
Kunstverein KLANGWERK	[nicht dokumentiert]	[nicht dokumentiert]	MA7	Beschluss	2024	3000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: NoMaden des Seins in Wien. Einzelförderung Projekte	NoMaden des Seins in Wien		kunstverein klangwerk
Between Feathers	1931401223	14	MA7	Beschluss	2024	3000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Vol. 3 Finding a new voice. Einzelförderung Projekte	Vol. 3 Finding a new voice		between feathers
Central Garden	17183473	2	MA7	Beschluss	2024	4000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Kanal 41.3. Einzelförderung Projekte	Kanal 41.3		central garden
Joanna Coleman (KEINPONNY)	[Einzelperson]	[nicht dokumentiert]	MA7	Beschluss	2024	2000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: KEINPONNY. Einzelperson	KEINPONNY		joanna coleman (keinponny)
Jazz & Musicclub Porgy & Bess	79072322	4	MA7	Beschluss	2024	170000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Gesamtförderung. Mehrjährige Gesamtförderung 2024-2025		Porgy & Bess	jazz & musicclub porgy & bess
minciospace Betriebs GmbH	GmbH	15	MA7	Beschluss	2024	100000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Gesamtförderung 2024. GmbH		Minciospace	minciospace betriebs gmbh
Hjalmar Al-Serori	[Einzelperson]	[nicht dokumentiert]	MA7	Beschluss	2024	12000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Celeste Programm. Einzelperson	Celeste Programm		hjalmar al-serori
PHACE - Ensemble für neue Musik	366181964	15	MA7	Beschluss	2023	130000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Gesamtförderung 2023. Ensemble			phace - ensemble für neue musik
Platypus - Verein für Neue Musik	881787755	5	MA7	Beschluss	2023	25000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Gesamtförderung 2023. Ensemble			platypus - verein für neue musik
Reconsil - Verein zur Förderung zeitgenössischer Musik	90914757	5	MA7	Beschluss	2023	5000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2023	ausbezahlt: Konzertzyklus im REAKTOR. Ensemble			reconsil - verein zur förderung zeitgenössischer musik
Between Feathers	1931401223	14	MA7	Beschluss	2024	11000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Gesamtförderung			between feathers
czirp czirp - experimental and sonic arts. Verein zur Förderung Experimenteller und\nKlang-Kunst	460617721	8	MA7	Beschluss	2024	20000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Gesamtförderung			czirp czirp - experimental and sonic arts. verein zur förderung experimenteller und\nklang-kunst
echoraum Vereinigung zur Förderung der Kulturkommunikation	884318065	15	MA7	Beschluss	2024	110000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2024	ausbezahlt: Gesamtförderung		echoraum	echoraum vereinigung zur förderung der kulturkommunikation
SAMA Kollektiv - Kunst & Kulturverein	1944532794	19	MA7	Beschluss	2022	5000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: sama recordings pres. s c h w e b e n. Einzelförderung Projekte	sama recordings		sama kollektiv - kunst & kulturverein
"


""Ventil"" - Verein zur Freisetzung klanglicher Innovation und Dynamik Kurztitel:\nVenti"	462456728	18	MA7	Beschluss	2022	8000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Konzertveranstaltungen 2. Halbjahr 2022. Einzelförderung Projekte		Ventil Records	"


""Ventil"" - Verein zur Freisetzung klanglicher Innovation und Dynamik Kurztitel:\nVenti"
Verein für elektroakustische Musik Kurztitel VELAK	229137709	5	MA7	Beschluss	2022	4500.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: VELAK Gala. Einzelförderung Projekte	VELAK Gala		verein für elektroakustische musik kurztitel velak
Kulturverein WERK	140201457	9	MA7	Beschluss	2022	16000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Konzerte im 1. Halbjahr 2022. Einzelförderung Projekte			kulturverein werk
Kulturverein WERK	140201457	9	MA7	Beschluss	2022	10000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Konzerte im 2. Halbjahr 2022. Einzelförderung Projekte			kulturverein werk
Little Rosies Improvisationsgruppe – Verein für musikalische Improvisation und Zeitgeist	[nicht dokumentiert]	[nicht dokumentiert]	MA7	Beschluss	2022	14000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: EXPLORATIONS Part II. Einzelförderung Projekte	EXPLORATIONS Part II		little rosies improvisationsgruppe – verein für musikalische improvisation und zeitgeist
MOOZAK - VEREIN FÜR EXPERIMENTELLE MUSIK	817982407	19	MA7	Beschluss	2022	8000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Moozak Multichannel Series. Einzelförderung Projekte	Moozak Multichannel Series	Moozak	moozak - verein für experimentelle musik
PARKEN, Verein zur Förderung experimenteller Musik im öffentlichem Raum	1294222714	16	MA7	Beschluss	2022	10000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Parken, Or Live in the Park. Einzelförderung Projekte	PARKEN	PARKEN	parken, verein zur förderung experimenteller musik im öffentlichem raum
rhizome audioart association - Verein zur Verbreitung und Förderung\nzeitgenössischer Ton-, Klang-, Musik-, Geräusch- und Audiokunst sowie von\naudiovisuellen, medienkünstlerischen, bildenden, literarischen und anderen\nkünstlerischen Ausdrucksformen, die sich mit Klang und Musik auseinandersetzen	317418575	13	MA7	Beschluss	2022	16000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Welcome to the rhizosphere. Einzelförderung Projekte	Welcome to the rhizosphere		rhizome audioart association - verein zur verbreitung und förderung\nzeitgenössischer ton-, klang-, musik-, geräusch- und audiokunst sowie von\naudiovisuellen, medienkünstlerischen, bildenden, literarischen und anderen\nkünstlerischen ausdrucksformen, die sich mit klang und musik auseinandersetzen
RRRIOT - Verein zur Förderung und Vermittlung feministischen Kulturschaffens	176821539	10	MA7	Beschluss	2022	20000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: DISHES RRR. Einzelförderung Projekte	DISHES RRR		rrriot - verein zur förderung und vermittlung feministischen kulturschaffens
TONSPUR Kunstverein Wien	824358800	7	MA7	Beschluss	2022	9500.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Gesamtförderung		TONSPUR	tonspur kunstverein wien
andother stage - Verein für künstlerische Forschung und transdiszplinäre Kunst	1140457008	5	MA7	Beschluss	2022	20000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: We The People. Einzelförderung Projekte	We The People		andother stage - verein für künstlerische forschung und transdiszplinäre kunst
Between Feathers	1931401223	14	MA7	Beschluss	2022	4000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: Alienation. Einzelförderung Projekte	Alienation		between feathers
czirp czirp - experimental and sonic arts. Verein zur Förderung Experimenteller und\nKlang-Kunst	460617721	8	MA7	Beschluss	2022	5000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: CLUB RADIOKOJE. Einzelförderung Projekte	CLUB RADIOKOJE		czirp czirp - experimental and sonic arts. verein zur förderung experimenteller und\nklang-kunst
Alexander Eberhard	[Einzelperson]	3	MA7	Beschluss	2022	7500.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: On the Couch – Studiokonzerte. Einzelperson			alexander eberhard
